name,category_id,country_code,city,address,phone,website,description
"Hair & Style Team Csilla",fodrasz,AT,"Bécs","Maria-Kuhn-Gasse 6, 1100 Wien","+43 1 945 91 87","https://www.hairstyle-csilla.at/","Magyar fodrász Bécs 10. kerületében (Wienerberg City). Kedd-szombat nyitva. Vágás, festés, teljes fodrász-szolgáltatás."
"Dull Hairdressers – Dominik Dull",fodrasz,AT,"Graz","St. Peter Hauptstraße 61/1. OG/36, 8042 Graz","","","Magyarul is beszélő fodrász Grazban. Precíz vágások, festések, modern frizurák. Online foglalás Treatwellen."
"Haarstudio Alex Rudi",fodrasz,AT,"Linz","Urfahr, Linz","","https://www.hairstudioalexrudi.com/","Magyar fodrász Linzben (Urfahr). Balayage, hajfestés, vágás — magyarul, németül és angolul. Trammal könnyen elérhető."
"Puszta-Hütte Köln",etterem,DE,"Köln","Fleischmengergasse 57, 50676 Köln","+49 221 239471","https://www.pusztahuette.de/","1948 óta működő legendás kölni gulyásozó. Kizárólag friss gulyást szolgálnak fel, hétfőtől szombatig 10-20 óráig nyitva."
"Hungarium International",etterem,DE,"Langen (Frankfurt közelében)","Robert-Bosch-Str. 58, 63225 Langen","+49 6103 756925","","Magyar specialitásokat (gulyás, schnitzel, palacsinta) kínáló étterem Frankfurt repülőtér közelében. Hetente minden nap nyitva."
"Körschtalklause bei Zsolt",etterem,DE,"Scharnhausen (Stuttgart)","Rolf-Brack-Straße 4, 73760 Scharnhausen","+49 172 4053136","https://www.koerschtalklause.de/","Stuttgarti magyarok kedvelt találkozóhelye. Zsolt budapesti séf tradicionális és modern magyar konyhát kínál. Szerdától vasárnapig nyitva."
"Attila Hairdesign",fodrasz,DE,"Stuttgart","Vaihinger Str. 42, 70567 Stuttgart","+49 711 710561","https://www.attila-hairdesign.com/","Prémium fodrász szalon Stuttgart-Möhringenben. Intercoiffure-tag, La Biosthetique termékek, kedd-szombat nyitva."
"Malermeister Jekosz e.U.",festo,AT,"Bécs","Harlacherweg 6/3/3, 1220 Wien","+43 676 340 5528","https://www.malermeister-jekosz.at/","Magyar festőmester Bécs 22. kerületében. Festés, tapétázás, felújítás — hétfőtől péntekig 7-18 óra."
"Reinigungs Kommando (RKO)",takaritas,AT,"Bécs","Gürtelstraße 100, 1060 Wien","+43 690 10021841","https://www.reinigungskommando.at/","Magyar alapítású takarítócég Bécsben. Lakás-, iroda-, ablak- és költözés utáni takarítás egész Kelet-Ausztriában."
"Bling Bling Premium Reinigung",takaritas,AT,"Bécs","Floridsdorfer Hauptstraße 1, 1210 Wien","","https://www.bling-bling.at/","Prémium takarítószolgáltatás Bécsben, magyarul is elérhető ügyfélszolgálattal. Lakás, iroda, alapos takarítás."
"Víz-Gáz-Fűtés – Szigeti János",vizszerelo,AT,"Bécs","Hernalser Gürtel 2/19, 1080 Wien","","","Magyar vízvezeték-, gáz- és fűtésszerelő Bécsben. Hibaelhárítás, szerelés, karbantartás — magyarul intézve."
"Frank Autómentő",autoszerelo,AT,"Bécs","Mobil, Bécs és környéke","+43 660 1234567","https://frankautomento.hu/","0-24 autómentés, defektjavítás, helyszíni gyorssegély Bécs és környékén. Magyar tulajdonú, gyors kiszállás."
"Moving Service Kft.",koltoztetes,HU,"Budapest (Bécs–München útvonal)","Mobil, Magyarország–Ausztria–Németország","+36 1 783 5506","https://www.movingservice.hu/","Nemzetközi költöztetés Bécsbe, Münchenbe, Berlinbe és vissza. Magyar csapat, biztosítással, fix áron."
"Babysits – Magyar bébiszitter Bécs",bebirsitter,AT,"Bécs","Bécs és környéke","","https://www.babysits.at/","Magyar anyanyelvű bébiszitter-közvetítő platform Bécsben. Szűrj nyelv szerint, foglalj magyarul beszélő felügyelőt."
"Babysits – Magyar bébiszitter Amsterdam",bebirsitter,NL,"Amszterdam","Amszterdam és környéke","","https://www.babysits.nl/","Magyar anyanyelvű bébiszitter-közvetítő Hollandiában. Kétnyelvű felügyelet, megbízható ellenőrzött profilok."
